country_name,happiness_score,gdp,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
South Korea,6.112,10.742,0.799,74.2,0.762,-0.004,0.714,0.603,0.245
Spain,6.456,10.609,0.912,72.6,0.779,-0.004,0.675,0.655,0.325
Sri Lanka,3.602,9.364,0.79,67.4,0.754,0.05,0.922,0.709,0.353
State of Palestine,4.851,,0.831,,0.708,,0.808,0.58,0.378
Sweden,7.161,10.902,0.927,72.4,0.926,0.147,0.253,0.739,0.194
Switzerland,6.969,11.169,0.904,73.3,0.891,0.104,0.247,0.745,0.185
Taiwan Province of China,6.655,,0.872,,0.795,,0.641,0.748,0.111
Tajikistan,5.379,8.371,0.871,62.6,,-0.054,0.482,0.638,0.231
Tanzania,4.042,7.893,0.663,60.3,0.862,0.122,0.609,0.702,0.21
Thailand,6.282,9.807,0.873,68.6,0.926,0.338,0.889,0.811,0.217
Togo,4.365,7.725,0.547,58.2,0.665,-0.071,0.685,0.546,0.362
Tunisia,4.505,9.282,0.702,67.1,0.482,-0.226,0.882,0.461,0.364
T�rkiye,5.463,10.429,0.86,69.1,0.523,-0.159,0.748,0.344,0.349
Uganda,4.467,7.759,0.827,60.1,0.848,0.067,0.912,0.726,0.376
Ukraine,4.672,9.423,0.839,64.8,0.772,0.37,0.922,0.49,0.385
United Arab Emirates,6.728,11.236,0.776,66.6,0.886,0.155,,0.655,0.304
United Kingdom,6.658,10.759,0.886,70.5,0.874,0.27,0.49,0.719,0.272
United States,6.521,11.089,0.861,65.6,0.721,0.185,0.722,0.706,0.284
Uruguay,6.662,10.122,0.908,67.5,0.904,-0.05,0.662,0.753,0.265
Uzbekistan,6.385,9.026,0.909,65.9,0.927,0.247,0.65,0.752,0.202
Venezuela,5.765,,0.885,63.7,0.757,,0.825,0.758,0.3
Vietnam,6.325,9.392,0.845,65.7,0.956,-0.159,0.655,0.71,0.12
Yemen,3.532,,0.825,56.6,0.583,,0.771,0.447,0.341
Zambia,3.686,8.115,0.664,56.1,0.854,0.092,0.814,0.653,0.359
Zimbabwe,3.572,7.679,0.694,55.0,0.735,-0.069,0.757,0.61,0.179
